time,Open,High,Low,Close,Volume
02.09.2019 03:12:00.000,38,38.3,37.6,37.9,48659.9999
02.09.2019 03:15:00.000,38.5,39.2,38.05,38.95,30360.0002
02.09.2019 03:18:00.000,39.8,40.3,39.2,40.15,53829.9986
02.09.2019 03:21:00.000,40.15,41,39.9,39.9,66659.9981
02.09.2019 03:24:00.000,40.45,41.05,40.2,41,78830
02.09.2019 03:27:00.000,41,41.9,40.85,41.45,46839.999
02.09.2019 03:30:00.000,41.3,41.75,40.6,40.6,49379.9998
02.09.2019 03:33:00.000,39.75,39.95,39.35,39.7,27640
02.09.2019 03:36:00.000,39.8,40.3,39.45,39.5,19160.0001
02.09.2019 03:39:00.000,40.2,40.6,39.8,40.05,28869.9995
02.09.2019 03:42:00.000,39.8,39.95,39.05,39.15,31680
02.09.2019 03:45:00.000,38.45,38.95,38.35,38.85,24120.0002
02.09.2019 03:48:00.000,38.8,39,38.45,38.7,33850.0002
02.09.2019 03:51:00.000,38.5,39.15,38.5,38.75,20389.9997
02.09.2019 03:54:00.000,38.95,39.65,38.8,39.5,23059.9996
02.09.2019 03:57:00.000,40.1,40.4,39.05,39.95,23269.9997
02.09.2019 04:00:00.000,40.6,40.75,40.15,40.25,24920.0003
02.09.2019 04:03:00.000,39,39,38.6,38.6,11620.0003
02.09.2019 04:06:00.000,38.6,39.2,38.3,39,24090.0002
02.09.2019 04:09:00.000,38.5,39.15,38.5,39,25739.9999
02.09.2019 04:12:00.000,38.7,39,38.55,38.85,23079.9998
02.09.2019 04:15:00.000,39.3,39.75,39.15,39.55,13449.9999
02.09.2019 04:18:00.000,39.85,40.45,39.8,40.05,25179.9994
02.09.2019 04:21:00.000,39.2,39.5,38.85,39.3,18409.9999
02.09.2019 04:24:00.000,39,39.45,38.7,38.9,22419.9994
02.09.2019 04:27:00.000,38.5,38.55,38.05,38.2,32209.9998
02.09.2019 04:30:00.000,38.25,38.3,38,38.1,28800.0001
02.09.2019 04:33:00.000,38,38.2,37.8,38.2,31410.0003
02.09.2019 04:36:00.000,39.35,39.65,39.1,39.45,24539.9995
02.09.2019 04:39:00.000,39.1,39.2,38.4,38.45,36940
02.09.2019 04:42:00.000,39,39,38.5,38.5,21780
02.09.2019 04:45:00.000,37.6,37.7,35.45,35.85,17639.9995
02.09.2019 04:48:00.000,35.55,35.8,35,35.7,8460.0002
02.09.2019 04:51:00.000,36,37.1,35.8,36.9,8240.0002
02.09.2019 04:54:00.000,37.3,37.5,36.3,37.35,9640.0002
02.09.2019 04:57:00.000,37.5,38.2,36.3,37,14969.9999
02.09.2019 05:00:00.000,36.3,36.45,35.85,35.85,22930
02.09.2019 05:03:00.000,36.15,36.95,36.15,36.6,19000.0003
02.09.2019 05:06:00.000,36.6,37.2,36.5,37.2,45839.9997
02.09.2019 05:09:00.000,37.55,38.2,37.5,38.15,33719.9988
02.09.2019 05:12:00.000,38.9,39.2,38.5,38.85,30029.9995
02.09.2019 05:15:00.000,39.2,40.6,38.95,40.5,25970.0003
02.09.2019 05:18:00.000,41.1,41.4,40.45,41,37720.0004
02.09.2019 05:21:00.000,41.2,41.2,40.15,40.35,41460.0009
02.09.2019 05:24:00.000,40,40.4,39.55,39.75,39709.9992
02.09.2019 05:27:00.000,39.1,39.4,37.85,37.85,25320
02.09.2019 05:30:00.000,36.5,37.35,36.4,37.3,74279.9994
02.09.2019 05:33:00.000,36.6,37.2,36.3,36.5,44290.0006
02.09.2019 05:36:00.000,37.2,37.8,37.15,37.4,56090.0001
02.09.2019 05:39:00.000,36.9,37.9,36.9,37.7,49889.9995
02.09.2019 05:42:00.000,37,37.1,36.6,37.1,52809.9993
02.09.2019 05:45:00.000,36.7,37.65,36.65,37.35,42799.999
02.09.2019 05:48:00.000,37.25,37.25,36.45,36.7,55800.0002
02.09.2019 05:51:00.000,36.6,37.45,36.1,37.45,64069.9993
02.09.2019 05:54:00.000,37.65,37.9,37,37,85370.0004
02.09.2019 05:57:00.000,37.05,37.3,36.7,36.7,68309.999
02.09.2019 06:00:00.000,36.85,36.85,35.9,36.05,58530.0001
02.09.2019 06:03:00.000,36.7,37,36,36.2,79909.9971
02.09.2019 06:06:00.000,37,37.3,36.35,37.3,86929.9975
02.09.2019 06:09:00.000,38,38,37.35,37.45,114979.9992
02.09.2019 06:12:00.000,37.35,39.45,37.25,39.3,130529.9997
02.09.2019 06:15:00.000,39.4,40,38.45,38.65,107289.9998
02.09.2019 06:18:00.000,38.5,38.55,37,37,85359.9999
02.09.2019 06:21:00.000,37.4,37.45,36.6,37.1,79609.9975
02.09.2019 06:24:00.000,36.55,36.9,36.25,36.4,65279.9998
02.09.2019 06:27:00.000,36.95,37.8,36.85,37.25,42840.0002
02.09.2019 06:30:00.000,37,37,36.45,36.85,59049.9994
02.09.2019 06:33:00.000,37.7,37.7,36.85,37.2,90460.0005
02.09.2019 06:36:00.000,37.5,37.8,37.15,37.2,120969.9995
02.09.2019 06:39:00.000,37.5,37.7,36.95,36.95,90460.0025
